gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
Smp_241750.3	6.97	0.66	0.67	5.41	0.77	5.77	2.78	2.55	3.24	3.15	0.89	2.51	5.64	5.07	5.47	7.36	6.15	9.95	3.01	2.4	2.08	3.95	4.17	4.72
Smp_241750.4	0.18	2.02	0	0.18	0	0.05	0.35	0.18	0	0	0	0	0	0.59	0	0	0.2	0	0	0	0	0	0.37	0
Smp_241840.1	33.34	3.25	2.45	27.79	9.8	68.51	35.35	34.82	54.31	37.81	34.62	36.61	38.33	37.59	29.44	87.93	76.62	89.37	71.24	68.58	65.19	151.85	164.73	126.04
Smp_241860.1	36.68	90.37	75.79	19.89	8.23	26.63	51.49	51.88	38.39	39.25	39.88	57.35	21.09	20.28	24.54	24.05	22.98	22.19	28.81	29.86	34.09	30.9	29.21	39.13
Smp_241950.1	19.61	0.61	2.46	19.3	7.64	28.75	5.66	5.7	7.42	6.63	4.25	5.56	3.16	5.47	3.8	6.16	4.94	6.33	0.55	0.54	0.24	1.18	1.49	2.25
Smp_241960.1	5.99	2.88	5.27	11.07	9.28	9.25	6.71	6.93	11.18	10.74	7.26	4.71	1.77	1.41	0	7.12	2.9	3.97	1.21	1.78	0	2.13	5.03	1.53
Smp_241960.2	65.33	45.32	36.14	44.21	50.92	71.01	53.92	54.14	49.14	47.68	54.75	59.12	52.33	56.91	65.27	58.79	59.18	61.26	16.45	18.53	18.28	25.1	29.72	34.12
Smp_241980.1	6.21	0	0	3.26	2.98	6.54	1.51	2.86	3.41	1.87	1.75	2.35	0	3.9	0	16.11	12.93	14.29	5.69	1.55	0	13.35	13.77	12.26
Smp_241980.2	19.34	1.03	0.93	5.52	0	6.69	1.09	0	3.1	3.35	0.93	0.77	6.4	3.45	4.83	5.04	4.96	5.08	0.04	4.6	4.06	10.11	8.18	10.27
Smp_241990.1	0	0	0	0	0	0	1.07	0.78	0.19	0	0.42	0	4.89	8.67	0	0	0	0	0	0	0.43	0.86	0	1.29
Smp_241990.2	1.73	0.23	0.65	5.14	7.76	4.97	0.36	0.33	0.55	0	0	2.28	2.36	3.49	11.35	6.67	3.92	4.52	0	0.76	1.48	0.73	1.56	2.75
Smp_241990.3	6.55	1.46	8.99	3.79	17.87	4.02	1.92	1.23	0.91	0.41	0.96	3.06	23.09	19.11	34.4	12.69	11.96	15.05	5.17	3.98	2.87	3.13	2.99	4.9
Smp_242060.1	63.04	25.93	14.53	5.57	3.19	11.76	11.1	11.98	9.28	8.5	8.02	11.94	11.12	8.47	9.47	19.83	14.68	16.71	14.34	11.28	13.06	22.33	24.07	25.89
Smp_242110.1	11.05	0.13	0.3	3.25	3.46	6.44	2.84	3.15	2.19	2.67	1.86	3.07	10.97	11.21	9.97	9.7	8.26	11.04	4.42	3.42	4.59	6.66	5.69	7.26
Smp_242110.2	12.99	0.16	0.14	10.32	6.26	24.25	3.13	1.9	1.08	1.42	1.1	1.73	0.93	1.61	2.18	1.92	0.4	1.91	0	0.45	0.44	0.25	0.86	0.35
Smp_242120.1	25.03	4.63	5.32	8.34	4.39	12.13	6.25	6.98	10.55	8.85	8.06	7.58	7.8	7.03	6.94	16.34	13.25	13.91	5.96	6.1	6.87	13.73	11.97	14.09
Smp_242130.1	24.7	5.92	1.95	13.98	9.43	19.65	13.52	12.38	10.72	9.35	7.73	15.35	17.13	11.85	14.03	22.32	20.29	24.99	24.29	25.01	23.75	23.42	33.64	29.96
Smp_242140.1	21.88	3.41	2.08	5.01	0.03	7.57	6.08	5.67	5.11	5.71	3.39	5.67	2.18	6.13	8.14	18.26	16.17	15.78	5.33	9.23	8.93	18.4	16.39	21.61
Smp_242140.2	2.33	0.34	0.26	0	1.84	2.17	1.04	0	1.98	0	0	1.19	4.44	0	0	3.48	1.35	2.83	1.85	0	0	2.22	6.97	2.74
Smp_242200.1	0.15	0	0	0	0	0	0	0.73	0	0	0	0	3.04	1.65	3.72	0.68	1.19	0.87	0	0	0	0.12	0	0.2
